book_id,annotator1,annotator2,annotator3
7896527,0,4,4
7896527,0,4,4
7896527,0,4,4
7735333,5,4,3
7735333,5,4,3
7735333,5,4,3
10243089,4,5,5
10243089,4,5,5
10243089,4,5,5
13481759,3,3,3
13481759,3,3,3
13481759,3,3,3
24586590,4,3,5
24586590,4,3,5
24586590,4,3,5
13596809,4,3,5
13596809,4,3,5
13596809,4,3,5
462033,4,5,5
462033,4,5,5
462033,4,5,5
6101138,1,4,2
6101138,1,4,2
6101138,1,4,2
7095831,4,4,5
7095831,4,4,5
7095831,4,4,5
9615347,4,4,4
9615347,4,4,4
9615347,4,4,4
11081723,5,2,2
11081723,5,2,2
11081723,5,2,2
23437156,5,5,5
23437156,5,5,5
23437156,5,5,5
219205,1,1,5
219205,1,1,5
219205,1,1,5
13206828,3,4,5
13206828,3,4,5
13206828,3,4,5
15283043,3,4,4
15283043,3,4,4
15283043,3,4,4
11500217,5,5,4
11500217,5,5,4
11500217,5,5,4
7812659,5,5,5
7812659,5,5,5
7812659,5,5,5
9736930,3,4,0
9736930,3,4,0
9736930,3,4,0
12813630,3,2,3
12813630,3,2,3
12813630,3,2,3
6471550,5,4,3
6471550,5,4,3
6471550,5,4,3
19486412,5,5,4
19486412,5,5,4
19486412,5,5,4
18360128,4,4,4
18360128,4,4,4
18360128,4,4,4
11988046,4,4,4
11988046,4,4,4
11988046,4,4,4
17212231,1,4,4
17212231,1,4,4
17212231,1,4,4
29093326,3,1,4
29093326,3,1,4
29093326,3,1,4
10818853,1,3,2
10818853,1,3,2
10818853,1,3,2
16070903,2,5,0
16070903,2,5,0
16070903,2,5,0
17290220,4,5,5
17290220,4,5,5
17290220,4,5,5
15997,3,4,5
15997,3,4,5
15997,3,4,5
24178,5,5,5
24178,5,5,5
24178,5,5,5
10194514,3,4,0
10194514,3,4,0
10194514,3,4,0
27494,5,5,3
27494,5,5,3
27494,5,5,3
6054150,3,3,4
6054150,3,3,4
6054150,3,3,4
49041,3,3,1
49041,3,3,1
49041,3,3,1
13324841,5,3,3
13324841,5,3,3
13324841,5,3,3
23012480,3,4,3
23012480,3,4,3
23012480,3,4,3
18003300,1,4,4
18003300,1,4,4
18003300,1,4,4
24666002,4,4,4
24666002,4,4,4
24666002,4,4,4
7741325,3,4,4
7741325,3,4,4
7741325,3,4,4
3777732,0,5,5
3777732,0,5,5
3777732,0,5,5
1885,5,5,5
1885,5,5,5
1885,5,5,5
556602,4,4,4
556602,4,4,4
556602,4,4,4
17571837,4,4,3
17571837,4,4,3
17571837,4,4,3
22294935,0,5,5
22294935,0,5,5
22294935,0,5,5
30075802,5,5,5
30075802,5,5,5
30075802,5,5,5
6150360,4,5,3
6150360,4,5,3
6150360,4,5,3
15861491,4,4,3
15861491,4,4,3
15861491,4,4,3
25812109,5,5,4
25812109,5,5,4
25812109,5,5,4
100915,5,5,4
100915,5,5,4
100915,5,5,4
157993,5,4,4
157993,5,4,4
157993,5,4,4
27272506,3,2,3
27272506,3,2,3
27272506,3,2,3
310259,5,5,0
310259,5,5,0
310259,5,5,0
6310,3,5,5
6310,3,5,5
6310,3,5,5
732562,0,5,4
732562,0,5,4
732562,0,5,4
8908,4,5,4
8908,4,5,4
8908,4,5,4
6892870,5,3,4
6892870,5,3,4
6892870,5,3,4
6185,2,1,1
6185,2,1,1
6185,2,1,1
2547,5,5,5
2547,5,5,5
2547,5,5,5
82356,5,3,5
82356,5,3,5
82356,5,3,5
6,5,4,0
6,5,4,0
6,5,4,0
8685612,5,4,4
8685612,5,4,4
8685612,5,4,4
6393631,5,3,4
6393631,5,3,4
6393631,5,3,4
1432,3,5,4
1432,3,5,4
1432,3,5,4
16151178,5,5,5
16151178,5,5,5
16151178,5,5,5
17262290,5,4,5
17262290,5,4,5
17262290,5,4,5
15513156,4,2,3
15513156,4,2,3
15513156,4,2,3
20483085,5,4,1
20483085,5,4,1
20483085,5,4,1
31450633,5,3,4
31450633,5,3,4
31450633,5,3,4
1420,5,5,3
1420,5,5,3
1420,5,5,3
81227,3,3,4
81227,3,3,4
81227,3,3,4
6411961,4,4,3
6411961,4,4,3
6411961,4,4,3
20910157,4,4,4
20910157,4,4,4
20910157,4,4,4
23717678,3,4,2
23717678,3,4,2
23717678,3,4,2
7824768,2,3,1
7824768,2,3,1
7824768,2,3,1
10964,5,3,4
10964,5,3,4
10964,5,3,4
58098,5,4,4
58098,5,4,4
58098,5,4,4
84981,5,3,4
84981,5,3,4
84981,5,3,4
11857408,5,3,1
11857408,5,3,1
11857408,5,3,1
20983362,5,4,5
20983362,5,4,5
20983362,5,4,5
95406,5,4,5
95406,5,4,5
95406,5,4,5
6131164,5,5,4
6131164,5,5,4
6131164,5,5,4
11298440,2,4,2
11298440,2,4,2
11298440,2,4,2
10874177,3,4,0
10874177,3,4,0
10874177,3,4,0
23754,5,4,5
23754,5,4,5
23754,5,4,5
1013383,5,5,5
1013383,5,5,5
1013383,5,5,5
12881778,1,3,5
12881778,1,3,5
12881778,1,3,5
27405351,2,2,2
27405351,2,2,2
27405351,2,2,2
21823465,4,4,4
21823465,4,4,4
21823465,4,4,4
8239301,5,5,4
8239301,5,5,4
8239301,5,5,4
6148028,0,5,5
6148028,0,5,5
6148028,0,5,5
17262298,3,4,5
17262298,3,4,5
17262298,3,4,5
9711714,5,5,3
9711714,5,5,3
9711714,5,5,3
26236956,1,4,3
26236956,1,4,3
26236956,1,4,3
8755776,4,5,4
8755776,4,5,4
8755776,4,5,4
10428902,3,3,2
10428902,3,3,2
10428902,3,3,2
8423931,4,5,4
8423931,4,5,4
8423931,4,5,4
21996,5,3,2
21996,5,3,2
21996,5,3,2
207802,5,5,5
207802,5,5,5
207802,5,5,5
6319,5,4,4
6319,5,4,4
6319,5,4,4
13600318,5,2,5
13600318,5,2,5
13600318,5,2,5
389627,1,3,4
389627,1,3,4
389627,1,3,4
11505797,5,5,5
11505797,5,5,5
11505797,5,5,5
7619398,5,4,4
7619398,5,4,4
7619398,5,4,4
4728979,3,5,5
4728979,3,5,5
4728979,3,5,5
28449207,5,5,5
28449207,5,5,5
28449207,5,5,5
17349203,4,1,5
17349203,4,1,5
17349203,4,1,5
26025580,3,2,4
26025580,3,2,4
26025580,3,2,4
370493,5,5,1
370493,5,5,1
370493,5,5,1
7445,4,5,5
7445,4,5,5
7445,4,5,5
12954620,1,4,5
12954620,1,4,5
12954620,1,4,5
16096824,0,4,3
16096824,0,4,3
16096824,0,4,3
24217,4,5,3
24217,4,5,3
24217,4,5,3
6261522,2,2,4
6261522,2,2,4
6261522,2,2,4
7686667,4,4,1
7686667,4,4,1
7686667,4,4,1
13158800,4,4,5
13158800,4,4,5
13158800,4,4,5
17331828,4,4,5
17331828,4,4,5
17331828,4,4,5
23012877,4,5,5
23012877,4,5,5
23012877,4,5,5
6267237,3,3,3
6267237,3,3,3
6267237,3,3,3
4374400,4,4,3
4374400,4,4,3
4374400,4,4,3
9673436,5,3,5
9673436,5,3,5
9673436,5,3,5
8127,5,5,5
8127,5,5,5
8127,5,5,5
26860475,5,3,2
26860475,5,3,2
26860475,5,3,2
6482837,2,5,3
6482837,2,5,3
6482837,2,5,3
12700353,3,5,5
12700353,3,5,5
12700353,3,5,5
17880714,5,5,4
17880714,5,5,4
17880714,5,5,4
1254951,2,5,3
1254951,2,5,3
1254951,2,5,3
237209,2,2,4
237209,2,2,4
237209,2,2,4
236093,3,3,4
236093,3,3,4
236093,3,3,4
1217100,3,5,4
1217100,3,5,4
1217100,3,5,4
18189606,0,0,5
18189606,0,0,5
18189606,0,0,5
2429135,4,3,2
2429135,4,3,2
2429135,4,3,2
8667848,4,5,4
8667848,4,5,4
8667848,4,5,4
16113791,2,5,4
16113791,2,5,4
16113791,2,5,4
6343963,5,4,5
6343963,5,4,5
6343963,5,4,5
968,4,3,4
968,4,3,4
968,4,3,4
25002478,4,5,4
25002478,4,5,4
25002478,4,5,4
9908518,5,3,4
9908518,5,3,4
9908518,5,3,4
5287473,5,3,5
5287473,5,3,5
5287473,5,3,5
30118,3,5,4
30118,3,5,4
30118,3,5,4
20821299,4,4,4
20821299,4,4,4
20821299,4,4,4
46165,1,2,5
46165,1,2,5
46165,1,2,5
14061957,5,0,4
14061957,5,0,4
14061957,5,0,4
17878931,3,3,5
17878931,3,3,5
17878931,3,3,5
27362503,5,5,4
27362503,5,5,4
27362503,5,5,4
24378015,5,0,5
24378015,5,0,5
24378015,5,0,5
10507293,3,5,4
10507293,3,5,4
10507293,3,5,4
824499,4,5,4
824499,4,5,4
824499,4,5,4
18383325,3,5,5
18383325,3,5,5
18383325,3,5,5
11250317,2,5,5
11250317,2,5,5
11250317,2,5,5
29396738,2,5,5
29396738,2,5,5
29396738,2,5,5
7728889,4,1,4
7728889,4,1,4
7728889,4,1,4
25203675,4,2,5
25203675,4,2,5
25203675,4,2,5
9593911,5,5,5
9593911,5,5,5
9593911,5,5,5
13508607,3,5,4
13508607,3,5,4
13508607,3,5,4
23302416,5,5,4
23302416,5,5,4
23302416,5,5,4
13448656,5,5,5
13448656,5,5,5
13448656,5,5,5
1582996,3,2,3
1582996,3,2,3
1582996,3,2,3
24728470,5,4,5
24728470,5,4,5
24728470,5,4,5
2213661,3,4,4
2213661,3,4,4
2213661,3,4,4
99944,4,5,5
99944,4,5,5
99944,4,5,5
17347389,4,5,4
17347389,4,5,4
17347389,4,5,4
46199,5,5,5
46199,5,5,5
46199,5,5,5
11192642,5,2,5
11192642,5,2,5
11192642,5,2,5
6304335,2,4,4
6304335,2,4,4
6304335,2,4,4
15790842,3,2,2
15790842,3,2,2
15790842,3,2,2
2,1,5,5
2,1,5,5
2,1,5,5
32254,4,3,0
32254,4,3,0
32254,4,3,0
43641,4,4,4
43641,4,4,4
43641,4,4,4
5,5,3,5
5,5,3,5
5,5,3,5
20454672,5,5,5
20454672,5,5,5
20454672,5,5,5
11367726,2,3,3
11367726,2,3,3
11367726,2,3,3
22628,0,4,4
22628,0,4,4
22628,0,4,4
256683,4,4,0
256683,4,4,0
256683,4,4,0
6574102,3,3,3
6574102,3,3,3
6574102,3,3,3
17802724,3,5,3
17802724,3,5,3
17802724,3,5,3
17210471,5,4,2
17210471,5,4,2
17210471,5,4,2
47212,4,4,3
47212,4,4,3
47212,4,4,3
10866624,4,5,4
10866624,4,5,4
10866624,4,5,4
233818,5,4,3
233818,5,4,3
233818,5,4,3
22341263,4,3,2
22341263,4,3,2
22341263,4,3,2
233093,4,5,5
233093,4,5,5
233093,4,5,5
2657,5,5,5
2657,5,5,5
2657,5,5,5
17167166,4,5,5
17167166,4,5,5
17167166,4,5,5
12425532,5,4,2
12425532,5,4,2
12425532,5,4,2
8428064,5,5,5
8428064,5,5,5
8428064,5,5,5
10691701,1,4,4
10691701,1,4,4
10691701,1,4,4
3236307,2,5,5
3236307,2,5,5
3236307,2,5,5
29780253,4,5,4
29780253,4,5,4
29780253,4,5,4
12812550,5,5,4
12812550,5,5,4
12812550,5,5,4
60510,5,5,5
60510,5,5,5
60510,5,5,5
4214,3,5,4
4214,3,5,4
4214,3,5,4
8909152,5,4,5
8909152,5,4,5
8909152,5,4,5
16143347,4,4,5
16143347,4,4,5
16143347,4,4,5
18007564,4,4,3
18007564,4,4,3
18007564,4,4,3
11614718,5,3,5
11614718,5,3,5
11614718,5,3,5
15839984,2,1,4
15839984,2,1,4
15839984,2,1,4
25853351,2,2,4
25853351,2,2,4
25853351,2,2,4
13262783,5,4,5
13262783,5,4,5
13262783,5,4,5
96259,4,4,5
96259,4,4,5
96259,4,4,5
15739018,3,4,5
15739018,3,4,5
15739018,3,4,5
